T0424 - loss: 0.03, correlation: 0.972339
T0429 - loss: 0.00, correlation: 0.902614
T0428 - loss: 0.00, correlation: 0.978163
T0724 - loss: 0.00, correlation: 0.526015
T0726 - loss: 0.03, correlation: 0.981728
T0727 - loss: 0.02, correlation: 0.975507
T0720 - loss: 0.00, correlation: 0.892761
T0721 - loss: 0.09, correlation: 0.934866
T0689 - loss: 0.01, correlation: 0.471488
T0723 - loss: 0.04, correlation: 0.986248
T0687 - loss: 0.00, correlation: 0.833367
T0686 - loss: 0.03, correlation: 0.479462
T0685 - loss: 0.00, correlation: 0.926462
T0684 - loss: 0.00, correlation: 0.721162
T0683 - loss: 0.00, correlation: 0.780280
T0682 - loss: 0.06, correlation: 0.878453
T0681 - loss: 0.02, correlation: 0.556580
T0680 - loss: 0.00, correlation: 0.829681
T0751 - loss: 0.05, correlation: 0.874951
T0699 - loss: 0.01, correlation: 0.883873
T0690 - loss: 0.00, correlation: -0.283118
T0818 - loss: 0.01, correlation: 0.814290
T0819 - loss: 0.04, correlation: 0.968822
T0396 - loss: 0.01, correlation: 0.987267
T0691 - loss: 0.04, correlation: 0.900545
T0812 - loss: 0.00, correlation: 0.827549
T0813 - loss: 0.00, correlation: 0.991926
T0810 - loss: 0.00, correlation: 0.978451
T0811 - loss: 0.01, correlation: 0.996736
T0816 - loss: 0.07, correlation: 0.772971
T0817 - loss: 0.07, correlation: 0.966256
T0814 - loss: 0.02, correlation: 0.532818
T0815 - loss: 0.01, correlation: 0.982889
T0610 - loss: 0.02, correlation: 0.688134
T0611 - loss: 0.04, correlation: 0.862741
T0612 - loss: 0.06, correlation: 0.867646
T0613 - loss: 0.01, correlation: 0.488672
T0614 - loss: 0.00, correlation: 0.943277
T0615 - loss: 0.00, correlation: 0.910220
T0616 - loss: 0.04, correlation: 0.675561
T0617 - loss: 0.00, correlation: 0.975161
T0593 - loss: 0.00, correlation: 0.945277
T0592 - loss: 0.00, correlation: 0.820380
T0591 - loss: 0.01, correlation: 0.629923
T0590 - loss: 0.01, correlation: 0.926985
T0597 - loss: 0.00, correlation: 0.730753
T0596 - loss: 0.05, correlation: 0.878302
T0594 - loss: 0.00, correlation: 0.690503
T0466 - loss: 0.05, correlation: 0.890915
T0465 - loss: 0.00, correlation: 0.750290
T0464 - loss: 0.13, correlation: 0.942990
T0463 - loss: 0.00, correlation: 0.985755
T0462 - loss: 0.14, correlation: 0.945981
T0461 - loss: 0.01, correlation: 0.995035
T0460 - loss: 0.00, correlation: 0.619294
T0469 - loss: 0.02, correlation: 0.982471
T0468 - loss: 0.07, correlation: 0.889551
T0665 - loss: 0.00, correlation: 0.908106
T0664 - loss: 0.00, correlation: 0.669192
T0667 - loss: 0.00, correlation: 0.967993
T0666 - loss: 0.06, correlation: 0.223739
T0661 - loss: 0.00, correlation: 0.676665
T0509 - loss: 0.01, correlation: 0.994894
T0663 - loss: 0.05, correlation: 0.721095
T0662 - loss: 0.03, correlation: 0.953748
T0504 - loss: 0.01, correlation: 0.931381
T0505 - loss: 0.04, correlation: 0.992987
T0506 - loss: 0.01, correlation: 0.977130
T0507 - loss: 0.00, correlation: 0.984325
T0669 - loss: 0.00, correlation: 0.965172
T0668 - loss: 0.06, correlation: 0.274040
T0502 - loss: 0.11, correlation: 0.923884
T0503 - loss: 0.05, correlation: 0.387608
T0511 - loss: 0.01, correlation: 0.997571
T0459 - loss: 0.00, correlation: 0.980151
T0768 - loss: 0.00, correlation: 0.909925
T0769 - loss: 0.02, correlation: 0.774878
T0760 - loss: 0.00, correlation: 0.977030
T0761 - loss: 0.01, correlation: 0.798954
T0762 - loss: 0.02, correlation: 0.982303
T0763 - loss: 0.08, correlation: 0.499433
T0764 - loss: 0.01, correlation: 0.964114
T0765 - loss: 0.04, correlation: 0.911824
T0766 - loss: 0.00, correlation: 0.972017
T0767 - loss: 0.01, correlation: 0.825275
T0518 - loss: 0.03, correlation: 0.784364
T0391 - loss: 0.04, correlation: 0.971448
T0393 - loss: 0.02, correlation: 0.992649
T0392 - loss: 0.04, correlation: 0.965344
T0395 - loss: 0.00, correlation: 0.978482
T0394 - loss: 0.09, correlation: 0.976683
T0719 - loss: 0.01, correlation: 0.623138
T0397 - loss: 0.03, correlation: 0.962919
T0715 - loss: 0.06, correlation: 0.930742
T0714 - loss: 0.01, correlation: 0.971763
T0717 - loss: 0.00, correlation: 0.866753
T0716 - loss: 0.02, correlation: 0.961123
T0711 - loss: 0.06, correlation: 0.915307
T0710 - loss: 0.00, correlation: 0.893223
T0713 - loss: 0.00, correlation: 0.441705
T0712 - loss: 0.00, correlation: 0.905020
T0569 - loss: 0.00, correlation: 0.851595
T0649 - loss: 0.05, correlation: 0.797038
T0540 - loss: 0.00, correlation: 0.890871
T0541 - loss: 0.01, correlation: 0.978524
T0542 - loss: 0.19, correlation: 0.879086
T0543 - loss: 0.02, correlation: 0.957395
T0544 - loss: 0.16, correlation: 0.637559
T0545 - loss: 0.02, correlation: 0.730146
T0547 - loss: 0.07, correlation: 0.758625
T0548 - loss: 0.08, correlation: 0.917157
T0549 - loss: 0.00, correlation: 0.967738
T0835 - loss: 0.00, correlation: 0.883905
T0786 - loss: 0.02, correlation: 0.952466
T0787 - loss: 0.00, correlation: 0.640294
T0784 - loss: 0.04, correlation: 0.912047
T0785 - loss: 0.08, correlation: 0.369910
T0782 - loss: 0.10, correlation: 0.982210
T0783 - loss: 0.00, correlation: 0.921753
T0780 - loss: 0.03, correlation: 0.883317
T0781 - loss: 0.01, correlation: 0.834992
T0621 - loss: 0.00, correlation: 0.684776
T0620 - loss: 0.01, correlation: 0.786230
T0623 - loss: 0.00, correlation: 0.808901
T0622 - loss: 0.00, correlation: 0.973210
T0625 - loss: 0.01, correlation: 0.850298
T0624 - loss: 0.01, correlation: 0.761906
T0788 - loss: 0.00, correlation: 0.986210
T0789 - loss: 0.02, correlation: 0.154754
T0534 - loss: 0.02, correlation: 0.517623
T0537 - loss: 0.00, correlation: 0.810534
T0536 - loss: 0.12, correlation: -0.205339
T0531 - loss: 0.07, correlation: 0.029731
T0530 - loss: 0.05, correlation: 0.358914
T0533 - loss: 0.00, correlation: -0.109650
T0532 - loss: 0.00, correlation: 0.755836
