T0393 - loss: 0.02, correlation: 0.992724
T0392 - loss: 0.03, correlation: 0.975697
T0395 - loss: 0.03, correlation: 0.974264
T0394 - loss: 0.03, correlation: 0.976892
T0397 - loss: 0.03, correlation: 0.976190
T0396 - loss: 0.02, correlation: 0.988486
T0399 - loss: 0.00, correlation: 0.975167
T0398 - loss: 0.00, correlation: 0.996660
T0829 - loss: 0.01, correlation: 0.855334
T0584 - loss: 0.00, correlation: 0.810014
T0585 - loss: 0.00, correlation: 0.790468
T0586 - loss: 0.05, correlation: 0.977324
T0580 - loss: 0.01, correlation: 0.764913
T0581 - loss: 0.07, correlation: 0.564579
T0582 - loss: 0.01, correlation: 0.322789
T0588 - loss: 0.09, correlation: 0.161331
T0589 - loss: 0.07, correlation: 0.762234
average loss: 0.023764, average correlation: 0.810366
